extraction_method,document_id,timestamp,processing_time,text_length,confidence_score,pages_processed,structured_elements_found,saved_files,average_confidence,dpi,screenshots_saved
enhanced_pdf,test_info_extract,20250903_082423,0.3488280773162842,1504,95.0,2,6.0,"{'full_text': 'output/documents/test_info_extract/enhanced_pdf/text/test_info_extract_20250903_082423_full_text.txt', 'structured_data': 'output/documents/test_info_extract/enhanced_pdf/text/test_info_extract_20250903_082423_structured_data.json', 'layout_analysis': 'output/documents/test_info_extract/enhanced_pdf/text/test_info_extract_20250903_082423_layout_analysis.json'}",,,
visual_ocr,test_info_extract,20250903_082428,3.546142101287842,1947,,2,,"{'ocr_text': 'output/documents/test_info_extract/visual_ocr/text/test_info_extract_20250903_082428_ocr_text.txt', 'confidence_scores': 'output/documents/test_info_extract/visual_ocr/text/test_info_extract_20250903_082428_confidence_scores.json'}",89.0923491414289,300.0,0.0
